,dataset,model,gamma,pm1,pm2,pm3,mm1,mm2,mm3
7,Beef,fcn_mt_ae,0.25,0.6218729130970071,0.42916558332884913,0.6808360675272358,0.001281777264562142,0.0008949756655298794,0.001542694540117661
9,Beef,fcn_mt_ae,0.5,0.6084846036415821,0.28155861577608543,0.4595727556917376,0.0013399507593204725,0.0008815908631853138,0.0018597599829736932
11,Beef,fcn_mt_ae,0.75,0.6556380366379757,0.4837347997998216,0.7112021980776604,0.0011970960530509026,0.0007638484420021995,0.001430915934823609
15,Beef,fcn_mt_conv,0.25,0.1943737206452866,0.1200709560440487,0.5287474953124406,0.0030228575169868,0.0017214182139529,0.0017172434287292
20,Beef,fcn_mt_conv,0.5,0.1493457576387244,0.0471199663087085,0.4516527470190404,0.0030793289086793,0.0016491366395105,0.001857708754023
25,Beef,fcn_mt_conv,0.75,0.1501793406529678,0.0518579486501764,0.4178020763823496,0.0027332607947231,0.0014067265519406,0.0019974488251015
16,Beef,fcn_mt_nn,0.25,0.4089402912765977,0.242618077883993,0.7043641446823667,0.0015726828933805,0.0006319121080256,0.0015151603884886
21,Beef,fcn_mt_nn,0.5,0.4067869020845271,0.2531418409453221,0.5425333937975918,0.0015832332838653,0.0006997389864894,0.0017011519839422
26,Beef,fcn_mt_nn,0.75,0.3764192378568337,0.2039281334033447,0.5579279030472506,0.0017017434629669,0.0004356795631853,0.0017481681742786
17,Beef,resnet_mt_ae,0.25,0.8385770087670099,0.4924363656238862,0.5560029123238983,0.0006582969678091,0.0025533075576337,0.0025239682606501
22,Beef,resnet_mt_ae,0.5,0.809508717889654,0.5238162598576194,0.6118436903969259,0.0008406123700041,0.0020430802990449,0.0018774096517946
27,Beef,resnet_mt_ae,0.75,0.837304745411617,0.5079655286886515,0.573455025793338,0.0007017147303337,0.0027145913670149,0.0025972930070394
18,Beef,resnet_mt_conv,0.25,0.5032380959006453,0.3128419277318082,0.551449464708978,0.001748485972312,0.0031065344247811,0.0027859188184917
23,Beef,resnet_mt_conv,0.5,0.4109888183580825,0.2616112931827981,0.5998303527105037,0.0019753532976967,0.0044370585480161,0.0032522089237668
28,Beef,resnet_mt_conv,0.75,0.3311331901307757,0.2305429831466139,0.582649223861355,0.0022159504947032,0.0053492079018421,0.0039330351729434
19,Beef,resnet_mt_nn,0.25,0.1549430153891057,0.1104277608714627,0.623273617587613,0.0020558617140377,0.0022629867877791,0.0020383381395346
24,Beef,resnet_mt_nn,0.5,0.1549207081445265,0.0890222350642861,0.585772936431598,0.0020558748671739,0.0015352281847541,0.0018318105442981
29,Beef,resnet_mt_nn,0.75,0.1548386022767797,0.1121150009553323,0.5567304226699579,0.0020559187343168,0.00242044090759,0.0024472904065535
14,ECG200,fcn_mt_ae,0.25,0.9917194227858932,0.8586573629029395,0.8591397525123968,0.00016492052558108678,0.006374325516168028,0.006482267711270852
16,ECG200,fcn_mt_ae,0.5,0.9866892579117756,0.8580298770866216,0.861643357225646,0.0002651317785900479,0.0062941995128057895,0.00654772022579741
18,ECG200,fcn_mt_ae,0.75,0.9839421522253019,0.8509002323801264,0.8550681378765266,0.00031975227199757027,0.006108151126420125,0.006472009486346251
30,ECG200,fcn_mt_conv,0.25,0.9044542685900068,0.7759205152608658,0.815423157046171,0.0019343581406762,0.0051646255401428,0.0067401420884928
35,ECG200,fcn_mt_conv,0.5,0.8821279096111047,0.780106654249344,0.8494299740385216,0.0023187633699906,0.0050201604256872,0.0065810836554588
40,ECG200,fcn_mt_conv,0.75,0.8555658549508868,0.7610054933864449,0.8384019783426743,0.0027937975295831,0.0048564413643907,0.0064789187679165
31,ECG200,fcn_mt_nn,0.25,0.8795656043478145,0.7726396358786097,0.8564954192902837,0.001854036007932,0.0054157132694963,0.0065463472798002
36,ECG200,fcn_mt_nn,0.5,0.8797407263287209,0.7972131293099758,0.8678537145362275,0.0019548177622259,0.0054570842240937,0.0066576575284422
41,ECG200,fcn_mt_nn,0.75,0.8831050985651882,0.7936730245607573,0.8712235401823054,0.0019313586777969,0.0056708868090063,0.0065479880394618
32,ECG200,resnet_mt_ae,0.25,0.9947849847487504,0.6855306109692586,0.6893620514588774,0.0001123583089138,0.0078117132326588,0.0077363187737528
37,ECG200,resnet_mt_ae,0.5,0.9929309881145576,0.6659341485673658,0.6689800524644864,0.000148769307476,0.0077134632202796,0.0075826430068191
42,ECG200,resnet_mt_ae,0.75,0.9874951252551948,0.7052917476871736,0.7120056020650327,0.0002577691470979,0.0074404898842331,0.0073783848707646
33,ECG200,resnet_mt_conv,0.25,0.9733260549391186,0.6419919631514521,0.6538815741547712,0.000554608995854,0.0077366171304602,0.0079976109349349
38,ECG200,resnet_mt_conv,0.5,0.9734947314791372,0.6026567019059452,0.6144386903239847,0.0005534733155358,0.0082100985646247,0.0083715876953819
43,ECG200,resnet_mt_conv,0.75,0.9230117677833432,0.6464775066707752,0.6754919360140483,0.0015984228787096,0.0076137294559739,0.0078767920180374
34,ECG200,resnet_mt_nn,0.25,0.9933964252129218,0.7062125700178989,0.7085744710233431,0.0001282504461784,0.0075169526273384,0.007583942694277
39,ECG200,resnet_mt_nn,0.5,0.994286742235802,0.675875476015244,0.6787837740990736,0.000111528942917,0.0073002323010005,0.0073455690177521
44,ECG200,resnet_mt_nn,0.75,0.9952915590215852,0.7145995490375302,0.7155362092783139,9.291300791553774e-05,0.0069532600785605,0.0069608321980175
0,GunPoint,fcn_mt_ae,0.25,0.9788181551064872,0.6959296941210781,0.7167059640791515,0.0003029501286130164,0.004533343674382195,0.004903022137032496
2,GunPoint,fcn_mt_ae,0.5,0.9771749272630167,0.7132216241155646,0.7313936377990188,0.0003264883997551727,0.004546459903242066,0.004992128851214908
4,GunPoint,fcn_mt_ae,0.75,0.9744838370167482,0.7805058537598628,0.7965862300494195,0.00037306122943208477,0.004328097857534885,0.004854863147390169
0,GunPoint,fcn_mt_conv,0.25,0.8019138153673036,0.6401789678042118,0.7943098291968018,0.0023711000745544,0.0039076998895034,0.0049066288464587
5,GunPoint,fcn_mt_conv,0.5,0.8049945572200329,0.6432494904767448,0.7942853574426113,0.0023875581122609,0.0035188344041816,0.0049928257484816
10,GunPoint,fcn_mt_conv,0.75,0.766923741953219,0.5420924930890839,0.7219437586181787,0.002721865506191,0.0031316475719213,0.0048075191030267
1,GunPoint,fcn_mt_nn,0.25,0.573898580922693,0.4486024104535721,0.7851641498657143,0.0037573752102825,0.0023546980045503,0.0048555427214158
6,GunPoint,fcn_mt_nn,0.5,0.5001651611036145,0.3657299887961188,0.7317316525357599,0.0042676147050993,0.0020800007893703,0.0049293041358109
11,GunPoint,fcn_mt_nn,0.75,0.4053724399615144,0.3202271593046457,0.7611383413581729,0.0048526549679009,0.0016916227313922,0.0048935274226067
2,GunPoint,resnet_mt_ae,0.25,0.9902786244419698,0.6104087530667309,0.6129590060742356,0.0001453663379992,0.0046437355251982,0.0046811530589487
7,GunPoint,resnet_mt_ae,0.5,0.9882250456538508,0.6497413827229848,0.653527606881776,0.000179093123657,0.0045766896293498,0.0045774139397108
12,GunPoint,resnet_mt_ae,0.75,0.9862341529543124,0.68162451786735,0.684352849684955,0.000203705308487,0.0046256458468269,0.0046197500206778
3,GunPoint,resnet_mt_conv,0.25,0.9716463536672196,0.6544578974179872,0.66778018996748,0.0004226370866118,0.0045137709327973,0.004617125454214
8,GunPoint,resnet_mt_conv,0.5,0.9527556109229872,0.6336710215413566,0.6568059699202173,0.0006723379844613,0.0047891720593906,0.0050974980808835
13,GunPoint,resnet_mt_conv,0.75,0.9296382903761854,0.5538564412434704,0.5796081454328895,0.0010075550487556,0.0049570689664687,0.005168991114957
4,GunPoint,resnet_mt_nn,0.25,0.9941795341322728,0.680519854108814,0.6826309186067046,7.981942082216924e-05,0.004061685960507,0.0041074197458622
9,GunPoint,resnet_mt_nn,0.5,0.9954628261369624,0.6464693843861472,0.6488038696546667,6.289765516679788e-05,0.0045402400365564,0.0046246896830072
14,GunPoint,resnet_mt_nn,0.75,0.990369235045393,0.5377643886591301,0.5426927390229954,0.0001312017625779,0.0052378626225981,0.0054210862405259
